
DATE,PE
2015-10-05,16.338184509126787
2015-10-06,16.279559283012663
2015-10-07,16.41037658279888
2015-10-08,16.5550896234172
2015-10-09,16.56709422792304
2015-10-12,16.588225620786055
2015-10-13,16.475004111165926
2015-10-14,16.397303075152113
2015-10-15,16.64084854464726
2015-10-16,16.716905114290412
2015-10-19,16.721427396809734
2015-10-20,16.697664857753658
2015-10-21,16.60039467192896
2015-10-22,16.8764183522447
2015-10-23,17.062571945403718
2015-10-26,17.02992928794606
2015-10-27,16.986433152442032
2015-10-28,17.187551389574082
2015-10-29,17.179822397631966
2015-10-30,17.09718796250617
2015-11-02,17.53375
2015-11-03,17.581583333333334
2015-11-04,17.51925
2015-11-05,17.499416666666665
2015-11-06,17.493333333333332
2015-11-09,17.3215
2015-11-10,17.347666666666665
2015-11-11,17.291666666666668
2015-11-12,17.04975
2015-11-13,16.858666666666668
2015-11-16,17.109916666666667
2015-11-17,17.087
2015-11-18,17.363166666666665
2015-11-19,17.343666666666664
2015-11-20,17.40975
2015-11-23,17.388250000000003
2015-11-24,17.409499999999998
2015-11-25,17.407249999999998
2015-11-26,17.407249999999998
2015-11-27,17.417583333333333
2015-11-30,17.33675
2015-12-01,17.740718866014177
2015-12-02,17.545646304421197
2015-12-03,17.293452581842725
2015-12-04,17.64841376982788
2015-12-07,17.52505906176173
2015-12-08,17.411322983462707
2015-12-09,17.27657779277759
2015-12-10,17.315474181572732
2015-12-11,16.979159635504555
2015-12-14,17.059905501181237
2015-12-15,17.24105636179548
2015-12-16,17.491309483631458
2015-12-17,17.228231522105975
2015-12-18,16.92161660479244
2015-12-21,17.05323995950051
2015-12-22,17.203594330070874
2015-12-23,17.417229159635504
2015-12-24,17.389385757678028
2015-12-25,17.389385757678028
2015-12-28,17.351501856226797
2015-12-29,17.53594330070874
2015-12-30,17.409382382720217
2015-12-31,17.24552818089774
2016-01-01,17.24552818089774
2016-01-04,17.01462507397075
2016-01-05,17.048862963902273
2016-01-06,16.82525995434948
2016-01-07,16.42649420914701
2016-01-08,16.248457181503085
2016-01-11,16.262321413475355
2016-01-12,16.389212951221573
2016-01-13,15.9800490320399
2016-01-14,16.246850959506297
2016-01-15,15.895933722208133
2016-01-18,15.895933722208133
2016-01-19,15.904387522191223
2016-01-20,15.71840392256319
2016-01-21,15.800067630399864
2016-01-22,16.1205511877589
2016-01-25,15.86845887226308
2016-01-26,16.092907261814187
2016-01-27,15.918082678163834
2016-01-28,16.006086735987825
2016-01-29,16.4024008791952
2016-02-01,16.414557765552264
2016-02-02,16.10689801100296
2016-02-03,16.187304274227674
2016-02-04,16.2120186203978
2016-02-05,15.912399492170968
2016-02-08,15.687177316969953
2016-02-09,15.676766821836647
2016-02-10,15.673804485823103
2016-02-11,15.48099873042742
2016-02-12,15.783157003808716
2016-02-15,15.783157003808716
2016-02-16,16.043842573000422
2016-02-17,16.30825222175201
2016-02-18,16.232162505289885
2016-02-19,16.231739314430808
2016-02-22,16.46635632670334
2016-02-23,16.261278036394412
2016-02-24,16.333474396953026
2016-02-25,16.518831993228947
2016-02-26,16.487939060516293
2016-02-29,16.35404147270419
2016-03-01,16.822704081632654
2016-03-02,16.89158163265306
2016-03-03,16.950680272108844
2016-03-04,17.00671768707483
2016-03-07,17.021768707482995
2016-03-08,16.83044217687075
2016-03-09,16.91547619047619
2016-03-10,16.91811224489796
2016-03-11,17.195493197278914
2016-03-14,17.173809523809524
2016-03-15,17.142261904761906
2016-03-16,17.23826530612245
2016-03-17,17.351955782312924
2016-03-18,17.428401360544218
2016-03-21,17.44557823129252
2016-03-22,17.43027210884354
2016-03-23,17.318962585034015
2016-03-24,17.312414965986395
2016-03-25,17.312414965986395
2016-03-28,17.3218537414966
2016-03-29,17.474574829931974
2016-03-30,17.550595238095237
2016-03-31,17.514795918367344
2016-04-01,17.67678662800614
2016-04-04,17.620075046904315
2016-04-05,17.44132696571721
2016-04-06,17.624594917277843
2016-04-07,17.413525498891353
2016-04-08,17.462050144976974
2016-04-11,17.414207743476034
2016-04-12,17.58246631417363
2016-04-13,17.758997100460515
2016-04-14,17.762067201091593
2016-04-15,17.744584683609073
2016-04-18,17.860651543578374
2016-04-19,17.915742793791576
2016-04-20,17.929387685485246
2016-04-21,17.836261299675932
2016-04-22,17.837114105406787
2016-04-25,17.804792768207403
2016-04-26,17.83813747228381
2016-04-27,17.867559269998296
2016-04-28,17.70262664165103
2016-04-29,17.612996759338223
2016-05-02,17.78847961712674
2016-05-03,17.63413383471498
2016-05-04,17.529441928040338
2016-05-05,17.525254251773354
2016-05-06,17.58089052217759
2016-05-09,17.59413725322622
2016-05-10,17.81377660029057
2016-05-11,17.6434492778395
2016-05-12,17.64045808050594
2016-05-13,17.490898213827876
2016-05-16,17.662251089650454
2016-05-17,17.49602598068541
2016-05-18,17.499615417485685
2016-05-19,17.434749166737884
2016-05-20,17.539697461755406
2016-05-23,17.503119391505
2016-05-24,17.742586103751815
2016-05-25,17.86633621058029
2016-05-26,17.8625758482181
2016-05-27,17.939150499957268
2016-05-30,17.939150499957268
2016-05-31,17.9212033159559
2016-06-01,17.967562478603217
2016-06-02,18.018315645326943
2016-06-03,17.965850736049298
2016-06-06,18.05383430332078
2016-06-07,18.07711400205409
2016-06-08,18.13693940431359
2016-06-09,18.10578568983225
2016-06-10,17.939661074974325
2016-06-13,17.794077370763436
2016-06-14,17.762067785005136
2016-06-15,17.729373502225265
2016-06-16,17.784919548099964
2016-06-17,17.726977062649777
2016-06-20,17.829938377268057
2016-06-21,17.878295104416296
