ticker,name,sector,industry,market_cap,metric_used,cagr_5yr,years_positive,yoy_sequence,implied_growth,finviz_5yr,gap,debt_equity,business_summary,reasons_skipped
SEG,Seaport Entertainment Group Inc,Real Estate,Real Estate Services,311598496.0,Revenue,0.03085237451769962,1/3,"(-4,-4,+18)",0.4362178641766563,,-0.4053654896589567,0.22460000000000002,"Seaport Entertainment Group Inc. owns, develops, and operates a portfolio of entertainment and real estate assets primarily in New York City and Las Vegas. The company operates through three segments: Hospitality; Entertainment; and Landlord Operations. The Hospitality segment operates fine dining and casual dining restaurants, cocktail bars, and nightlife and entertainment venues under The Fulton, Mister Dips, Carne Mare, Malibu Farm, Gitano, and The Lawn Club brands. The Entertainment segment includes the Las Vegas Aviators Triple-A Minor League Baseball team, the Las Vegas Ballpark, the Fas",
SDHC,Smith Douglas Homes Corp.,Real Estate,Real Estate - Development,97913320.0,EPS,-0.3425414364640884,0/1,(-34),0.06690965888207723,,-0.40945109534616564,0.16149000000000002,"Smith Douglas Homes Corp. is headquartered in Woodstock, Georgia, Smith Douglas Homes completed its initial public offering in January 2024. Since its inception, Smith Douglas has been entrusted by over 20,000 families to fulfill their new home dreams. Ranked a top 50 builder nationally for several years and with 2,908 closings in 2025, Smith Douglas currently holds the #32 position on the Builder Magazine Top 100 list. The Smith Douglas communities are primarily targeted to entry-level and empty-nest homebuyers looking to purchase a new home priced below the Federal Housing Administration loa",
ELTK,Eltek Ltd.,Technology,Electronic Components,57062084.0,EPS,-0.39798656209120853,1/3,"(+96,-41,-81)",0.02183994549285795,,-0.4198265075840665,0.13685,"Eltek Ltd. engages in the manufacture, marketing, and sale of printed circuit boards (PCBs) in Israel, North America, India, the Netherlands, rest of Europe, and internationally. The company offers various custom designed PCBs, including complex rigid, double-sided and multi-layer PCBs, and flexible circuitry boards. It also provides high-density circuit boards; and flexible and flex rigid PCBs, and multi-layered boards, as well as act as a supplier for the importation of PCBs. In addition, the company provides training and consulting services. It primarily serves medical technology, defense a",
AWP,Aberdeen Global Premier Propert,Financial Services,Asset Management,357753120.0,EPS,-0.19017303982465927,0/1,"(-202,?,?)",0.23279581407897898,,-0.42296885390363825,0.09049,"Abrdn Global Premier Properties Fund is a closed-end equity mutual fund launched and managed by Alpine Woods Capital Investors, LLC. It invests in the public equity markets across the globe. The fund invests in stocks of companies operating across real estate sectors. It invests in value stocks of companies. The fund employs fundamental analysis with top-down and bottom-up stock picking approach to create its portfolio. It benchmarks the performance of its portfolio against the FTSE EPRA/NAREIT Global TR Index, MSCI US REIT Gross Total Return Index, and S&P Developed BMI Property Index Net TR ",
USPH,"U.S. Physical Therapy, Inc.",Healthcare,Medical Care Facilities,950565568.0,EPS,-0.10552680032071304,1/5,"(-3,-7,-43,+44,-23)",0.3328508804766874,,-0.43837768079740047,0.46346,"U.S. Physical Therapy, Inc., together with its subsidiaries, operates and manages outpatient physical therapy clinics. It operates through two segments, Physical Therapy Operations and Industrial Injury Prevention Services. The company provides pre-and post-operative care and treatment for orthopedic-related disorders, sports-related injuries, preventative care, rehabilitation of injured workers, and neurological-related injuries. It offers industrial injury prevention services, including onsite injury prevention and rehabilitation, performance optimization, post-offer employment testing, func",
ASC,Ardmore Shipping Corporation,Industrials,Marine Shipping,772801600.0,EPS,-0.3741151193453368,1/3,"(-24,+12,-71)",0.0823656620187343,,-0.4564807813640711,0.16052,"Ardmore Shipping Corporation engages in the seaborne transportation of petroleum products and chemicals worldwide. The company's fleet consists of 26 vessels, including 25 owned Eco-design vessels and one chartered-in vessels. It serves oil majors, national oil companies, oil and chemical traders, chemical companies, and pooling service providers. The company was founded in 2010 and is headquartered in Hamilton, Bermuda.",
BGY,Blackrock Enhanced Internationa,Financial Services,Asset Management,520580032.0,EPS,-0.4678632228523124,0/2,"(-185,?,-87)",0.001703152329286528,,-0.46956637518159894,0.002,"BlackRock Enhanced International Dividend Trust is a closed ended equity mutual fund launched by BlackRock, Inc. The fund is co-managed by BlackRock Advisors, LLC and BlackRock International Limited. It invests in public equity markets across the globe excluding the United States. The fund seeks to invest in stocks of companies operating across diversified sectors. It invests in stocks of companies across all market capitalizations. The fund also invests through the use of derivatives, with an emphasis on options writing. It benchmarks the performance of its portfolio against the S&P Global ex",
ESOA,Energy Services of America Corp,Industrials,Engineering & Construction,327757280.0,EPS,-0.30461554685293124,3/5,"(+322,-56,+91,+243,-99)",0.1687261667024642,,-0.47334171355539545,0.46042,"Energy Services of America Corporation operates as a contractor and service company for the natural gas, petroleum, water distribution, automotive, chemical, and power industries in the United States. The company constructs, replaces, and repairs interstate and intrastate natural gas pipelines and storage facilities for utility companies and private natural gas companies; and provides services relating to pipeline, storage facilities, and plant works. It also offers electrical and mechanical installation, and repair services, including substation and switchyard, site preparation, equipment set",
FSI,Flexible Solutions Internationa,Basic Materials,Specialty Chemicals,81328928.0,EPS,-0.1674467925981269,3/5,"(+87,+100,-61,+9,-75)",0.3123793244409503,,-0.4798261170390772,0.31281,"Flexible Solutions International, Inc., together with its subsidiaries, develops, manufactures, and markets specialty chemicals that slow the evaporation of water in Canada, the United States, and internationally. The company operates in two segments, Energy and Water Conservation Products, and Biodegradable Polymers. It offers thermal polyaspartates (TPAs) for oilfields to reduce scale and corrosion in various water systems; and for the agricultural industry to reduce fertilizer crystallization before, during, and after application, as well as to prevent crystal formation between fertilizer a",
TRT,Trio-Tech International,Technology,Semiconductor Equipment & Materials,139857248.0,Revenue,-0.04198672896776634,1/4,"(+10,-7,-12,-6)",0.43935108210425367,,-0.48133781107202,0.1043,"Trio-Tech International, together with its subsidiaries, offers manufacturing, testing, and distribution services to the semiconductor industry in the United States, Singapore, Malaysia, Thailand, and China. It operates through Manufacturing, Testing, Distribution, and Real Estate segments. The company develops and manufactures test equipment used in front-end and back-end manufacturing processes of semiconductors. It also offers equipment, which includes leak detectors, autoclaves, centrifuges, burn-in systems and boards, HAST testers, temperature-controlled chucks, and others; and develops t",
AUDC,AudioCodes Ltd.,Technology,Communication Equipment,231373360.0,EPS,-0.29640313497446946,1/3,"(-69,+82,-39)",0.18804490232079552,,-0.484448037295265,0.2426,"AudioCodes Ltd. provides advanced communications software, products, and productivity solutions for the digital workplace worldwide. The company offers solutions, products, and services for unified communications, contact centers, and hosted business services. Its products include session border controllers, life cycle management solutions, VoIP network routing solutions, media gateways and servers, multi-service business routers, IP phones solutions, and value-added applications, as well as professional services. The company also offers One Voice Operations Center, a voice network management ",
FIEE,"FiEE, Inc",Technology,Communication Equipment,50804448.0,Revenue,-0.3360103169219859,2/5,"(+15,-9,-48,-98,+868)",0.15296479969304255,,-0.48897511661502846,0.168,"FiEE, Inc. operates as a digital content management solution provider. The company provides digital account management, content operations and growth analytics, and community engagement and creator partnerships. It also offers global premium plan, overseas basic plan, and starter plan. In addition, the company provides digital authentication services, including micro identification, AI image recognition authentication, blockchain certification, and digital passport generation; and software development services. It serves creators, artists, and businesses. The company was formerly known as Mini",
FINS,Angel Oak Financial Strategies Income Term Trust,Financial Services,Asset Management,422389024.0,EPS,-0.4777670321329065,0/1,"(-249,?)",0.01813012079937537,,-0.49589715293228187,0.26960999999999996,,
