AxisType	AxisGroup	MembersMatched	AxisScore	Examples
StatementBusinessSegmentsAxis	OPERATING	3	15.0	Digital Experience, Digital Media, Publishing And Advertising
ProductOrServiceAxis	PRODUCT	2	14.0	Product, Subscription Revenue
