AxisType	AxisGroup	MembersMatched	AxisScore	Examples
StatementBusinessSegmentsAxis	OPERATING	4	14.0	Ford Blue, Ford Credit, Ford Model E
ProductOrServiceAxis	PRODUCT	0	2.0	
