                                                    Concept  PeriodEnd                                                                                                                                                   Dims         Value
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                       srt:ProductOrServiceAxis:us-gaap:LicenseMember; us-gaap:StatementBusinessSegmentsAxis:teva:OtherActivitiesMember  5.000000e+06
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                                                                                         srt:ProductOrServiceAxis:us-gaap:LicenseMember  6.810000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                                   srt:ProductOrServiceAxis:us-gaap:DistributionServiceMember; srt:StatementGeographicalAxis:country:US  1.577000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                      srt:ProductOrServiceAxis:us-gaap:DistributionServiceMember; us-gaap:StatementBusinessSegmentsAxis:teva:InternationalMarketsMember  3.800000e+07
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                                                                             srt:ProductOrServiceAxis:us-gaap:DistributionServiceMember  1.615000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                                srt:ProductOrServiceAxis:us-gaap:ProductAndServiceOtherMember; srt:StatementGeographicalAxis:country:US  2.000000e+06
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                          srt:ProductOrServiceAxis:us-gaap:ProductAndServiceOtherMember; srt:StatementGeographicalAxis:srt:EuropeMember  1.550000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                   srt:ProductOrServiceAxis:us-gaap:ProductAndServiceOtherMember; us-gaap:StatementBusinessSegmentsAxis:teva:InternationalMarketsMember  5.700000e+07
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                        srt:ProductOrServiceAxis:us-gaap:ProductAndServiceOtherMember; us-gaap:StatementBusinessSegmentsAxis:teva:OtherActivitiesMember  3.570000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                                                                          srt:ProductOrServiceAxis:us-gaap:ProductAndServiceOtherMember  5.700000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                                                                                               srt:StatementGeographicalAxis:country:US  7.731000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                                                                                         srt:StatementGeographicalAxis:srt:EuropeMember  4.837000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                                                                  us-gaap:StatementBusinessSegmentsAxis:teva:InternationalMarketsMember  2.351000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                                                                       us-gaap:StatementBusinessSegmentsAxis:teva:OtherActivitiesMember  9.260000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                                                                                                                                         1.584600e+10
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2022-12-31                                                               srt:ProductOrServiceAxis:us-gaap:ProductMember; srt:StatementGeographicalAxis:country:US  5.383000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2022-12-31                                                         srt:ProductOrServiceAxis:us-gaap:ProductMember; srt:StatementGeographicalAxis:srt:EuropeMember  4.455000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2022-12-31                                  srt:ProductOrServiceAxis:us-gaap:ProductMember; us-gaap:StatementBusinessSegmentsAxis:teva:InternationalMarketsMember  2.257000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2022-12-31                                       srt:ProductOrServiceAxis:us-gaap:ProductMember; us-gaap:StatementBusinessSegmentsAxis:teva:OtherActivitiesMember  6.710000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2022-12-31                                                                                                         srt:ProductOrServiceAxis:us-gaap:ProductMember  1.276600e+10
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2022-12-31                                                               srt:ProductOrServiceAxis:us-gaap:LicenseMember; srt:StatementGeographicalAxis:country:US  1.360000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2022-12-31                                                         srt:ProductOrServiceAxis:us-gaap:LicenseMember; srt:StatementGeographicalAxis:srt:EuropeMember  5.100000e+07
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2022-12-31                                  srt:ProductOrServiceAxis:us-gaap:LicenseMember; us-gaap:StatementBusinessSegmentsAxis:teva:InternationalMarketsMember  2.200000e+07
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2022-12-31                                       srt:ProductOrServiceAxis:us-gaap:LicenseMember; us-gaap:StatementBusinessSegmentsAxis:teva:OtherActivitiesMember  4.000000e+06
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2022-12-31                                                                                                         srt:ProductOrServiceAxis:us-gaap:LicenseMember  2.120000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2022-12-31                                                   srt:ProductOrServiceAxis:us-gaap:DistributionServiceMember; srt:StatementGeographicalAxis:country:US  1.471000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2022-12-31                                             srt:ProductOrServiceAxis:us-gaap:DistributionServiceMember; srt:StatementGeographicalAxis:srt:EuropeMember  1.000000e+06
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2022-12-31                      srt:ProductOrServiceAxis:us-gaap:DistributionServiceMember; us-gaap:StatementBusinessSegmentsAxis:teva:InternationalMarketsMember  4.600000e+07
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2022-12-31                                                                                             srt:ProductOrServiceAxis:us-gaap:DistributionServiceMember  1.519000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2022-12-31                                                srt:ProductOrServiceAxis:us-gaap:ProductAndServiceOtherMember; srt:StatementGeographicalAxis:country:US  1.300000e+07
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2022-12-31                                          srt:ProductOrServiceAxis:us-gaap:ProductAndServiceOtherMember; srt:StatementGeographicalAxis:srt:EuropeMember  1.800000e+07
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2022-12-31                   srt:ProductOrServiceAxis:us-gaap:ProductAndServiceOtherMember; us-gaap:StatementBusinessSegmentsAxis:teva:InternationalMarketsMember  2.700000e+07
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2022-12-31                        srt:ProductOrServiceAxis:us-gaap:ProductAndServiceOtherMember; us-gaap:StatementBusinessSegmentsAxis:teva:OtherActivitiesMember  3.700000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2022-12-31                                                                                          srt:ProductOrServiceAxis:us-gaap:ProductAndServiceOtherMember  4.280000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2022-12-31                                                                                                               srt:StatementGeographicalAxis:country:US  7.003000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2022-12-31                                                                                                         srt:StatementGeographicalAxis:srt:EuropeMember  4.525000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2022-12-31                                                                                  us-gaap:StatementBusinessSegmentsAxis:teva:InternationalMarketsMember  2.352000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2022-12-31                                                                                       us-gaap:StatementBusinessSegmentsAxis:teva:OtherActivitiesMember  1.045000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2022-12-31                                                                                                                                                         1.492500e+10
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-31                                                                   us-gaap:TaxCreditCarryforwardAxis:teva:SpecialPreferredTechnologicalEnterpriseMember  1.000000e+10
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-31                                                                   us-gaap:TaxCreditCarryforwardAxis:teva:SpecialPreferredTechnologicalEnterpriseMember  2.900000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-31                                                                                   us-gaap:StatementBusinessSegmentsAxis:teva:UnitedStatesSegmentMember  8.034000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-31                                                                                         us-gaap:StatementBusinessSegmentsAxis:teva:EuropeSegmentMember  5.103000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-31                                                                                  us-gaap:StatementBusinessSegmentsAxis:teva:InternationalMarketsMember  2.463000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                                                                   us-gaap:StatementBusinessSegmentsAxis:teva:UnitedStatesSegmentMember  7.731000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                                                                         us-gaap:StatementBusinessSegmentsAxis:teva:EuropeSegmentMember  4.837000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                                                                  us-gaap:StatementBusinessSegmentsAxis:teva:InternationalMarketsMember  2.351000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2022-12-31                                                                                   us-gaap:StatementBusinessSegmentsAxis:teva:UnitedStatesSegmentMember  7.003000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2022-12-31                                                                                         us-gaap:StatementBusinessSegmentsAxis:teva:EuropeSegmentMember  4.525000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2022-12-31                                                                                  us-gaap:StatementBusinessSegmentsAxis:teva:InternationalMarketsMember  2.352000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-31  srt:ProductOrServiceAxis:teva:GenericsMediciansIncludingOtcAndBiosimilarsMember; us-gaap:StatementBusinessSegmentsAxis:teva:UnitedStatesSegmentMember  3.599000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31  srt:ProductOrServiceAxis:teva:GenericsMediciansIncludingOtcAndBiosimilarsMember; us-gaap:StatementBusinessSegmentsAxis:teva:UnitedStatesSegmentMember  3.138000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2022-12-31  srt:ProductOrServiceAxis:teva:GenericsMediciansIncludingOtcAndBiosimilarsMember; us-gaap:StatementBusinessSegmentsAxis:teva:UnitedStatesSegmentMember  3.155000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-31                                        srt:ProductOrServiceAxis:teva:AjovyMember; us-gaap:StatementBusinessSegmentsAxis:teva:UnitedStatesSegmentMember  2.070000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                        srt:ProductOrServiceAxis:teva:AjovyMember; us-gaap:StatementBusinessSegmentsAxis:teva:UnitedStatesSegmentMember  2.110000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2022-12-31                                        srt:ProductOrServiceAxis:teva:AjovyMember; us-gaap:StatementBusinessSegmentsAxis:teva:UnitedStatesSegmentMember  2.100000e+08
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2024-12-31                                      srt:ProductOrServiceAxis:teva:AustedoMember; us-gaap:StatementBusinessSegmentsAxis:teva:UnitedStatesSegmentMember  1.642000e+09
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax 2023-12-31                                      srt:ProductOrServiceAxis:teva:AustedoMember; us-gaap:StatementBusinessSegmentsAxis:teva:UnitedStatesSegmentMember  1.225000e+09
