Ticker
AAL
AAPL
ADBE
AMAT
AMD
AMZN
AXP
BA
BABA
BAC
BIRD
BRK-B
BUD
BYND
C
CCL
CELH
CMG
COIN
COST
CRM
CSCO
CVS
CVX
DAL
DJT
DIS
DKNG
DPZ
EVGO
F
FSLR
FSR
GE
GILD
GM
GME
GOOGL
GPI
GS
GTIM
HOOD
INTC
JPM
KHC
KO
LMT
LRCX
LUV
MA
META
MRNA
MSFT
MU
NCLH
NET
NFLX
NOC
NVDA
ORCL
PERI
PFE
PINS
PLTR
PYPL
RCL
RDDT
RTX
RIVN
SAVE
SBUX
SCHW
SNAP
SPOT
TGT
TSLA
TSM
TSN
UAL
UBER
UPS
V
VLO
VRSN
VZ
WMT
XOM
