Year,Revenue,Cost of Revenue,R&D,SG&A
2023,$0M,$0M,$0M,$0M
2024,"$43,978M","$26,651M","$3,109M","$7,976M"
2025,"$11,533M","$6,937M",$815M,"$1,714M"
