Year,Revenue,Cost of Revenue,R&D,SG&A
2020,$0M,$0M,$0M,$0M
2021,"$292,111M","$239,991M",$0M,$0M
2022,"$322,467M","$267,965M",$0M,$0M
2023,"$357,776M","$303,345M",$0M,$0M
2024,"$372,809M","$321,408M",$0M,$0M
