Year,Revenue,Cost of Revenue,R&D,SG&A
2021,"$168,088M","$52,232M","$20,716M","$25,224M"
2022,"$198,270M","$62,650M","$24,512M","$27,725M"
2023,"$211,915M","$65,863M","$27,195M","$30,334M"
2024,"$245,122M","$74,114M","$29,510M","$32,065M"
