Year,Cost of Revenue %Δ,R&D %Δ,SG&A %Δ
2020,,,
2021,inf,inf,inf
2022,15.52,-28.85,-51.34
2023,-21.94,-8.31,45.66
2024,9.8,1.61,-56.06
