Year,Cost of Revenue %Δ,R&D %Δ,Expenses %Δ
2020,,,
2021,inf,inf,inf
2022,106.95,65.49,99.65
2023,-13.35,47.04,36.84
2024,-68.8,-6.23,-24.21
