Year,Revenue,Cost of Revenue,R&D,SG&A
2020,$0M,$0M,$0M,$0M
2021,"$29,061M","$20,670M",$0M,"$3,865M"
2022,"$32,250M","$23,879M",$0M,"$4,064M"
2023,"$35,976M","$26,129M",$0M,"$4,883M"
2024,"$36,176M","$26,467M",$0M,"$5,047M"
