Year,Revenue,Cost of Revenue,R&D,SG&A
2021,$0M,$0M,$3M,$4M
2022,$1M,$0M,$14M,$11M
2023,$4M,$0M,$10M,$10M
2024,$4M,$1M,$49M,$137M
