Year,Revenue,Cost of Revenue,R&D,SG&A
2020,$0M,$0M,$0M,$0M
2021,"$13,482M","$11,041M",$0M,"$1,477M"
2022,"$16,222M","$13,257M",$0M,"$1,783M"
2023,"$17,874M","$14,853M",$0M,"$1,927M"
2024,"$19,934M","$16,693M",$0M,"$2,179M"
