Year,Revenue,Cost of Revenue,R&D,SG&A
2021,"$23,063M","$12,149M","$2,485M","$1,229M"
2022,"$25,785M","$13,792M","$2,771M","$1,438M"
2023,"$26,517M","$14,133M","$3,102M","$1,628M"
2024,"$27,176M","$14,279M","$3,233M","$1,797M"
