Year,Revenue,Cost of Revenue,R&D,SG&A
2020,$0M,$0M,$0M,$0M
2021,"$1,150M",$986M,$33M,$177M
2022,"$1,205M","$1,035M",$34M,$153M
2023,"$1,117M",$907M,$34M,$159M
2024,"$1,043M",$840M,$33M,$179M
