Year,Revenue,Cost of Revenue,R&D,SG&A
2021,"$62,286M","$59,237M","$2,249M","$8,314M"
2022,"$66,608M","$63,078M","$2,852M","$8,374M"
2023,"$77,794M","$70,070M","$3,377M","$10,336M"
2024,"$66,517M","$68,508M","$3,812M","$10,042M"
