Year,Revenue,Cost of Revenue,R&D,SG&A
2021,$0M,$0M,$0M,$9M
2022,$47M,$35M,$0M,$23M
2023,$93M,$74M,$0M,$33M
2024,$103M,$73M,$0M,$42M
2025,$123M,$93M,$0M,$25M
