Year,Revenue,Cost of Revenue,R&D,SG&A
2023,$0M,$0M,$0M,$0M
2024,"$92,502M","$58,517M",$0M,"$15,906M"
2025,"$23,621M","$14,810M",$0M,"$3,981M"
