Year,Revenue,Cost of Revenue,R&D,SG&A
2023,$0M,$0M,$0M,$0M
2024,"$45,043M","$8,418M","$10,991M","$16,264M"
2025,"$12,728M","$2,224M","$2,734M","$4,724M"
