Year,Revenue,Cost of Revenue,R&D,SG&A
2023,$0M,$0M,$0M,$0M
2024,"$184,992M","$169,486M",$0M,"$10,287M"
2025,"$40,659M","$37,909M",$0M,"$2,431M"
