Year,Cost of Revenue %Δ,R&D %Δ,SG&A %Δ
2020,,,
2021,inf,inf,inf
2022,2.78,15.39,7.02
2023,-10.14,-8.46,-19.54
2024,9.96,3.12,-2.25
