Year,Revenue,Cost of Revenue,R&D,SG&A
2023,$0M,$0M,$0M,$0M
2024,"$258,805M","$226,010M",$0M,"$23,298M"
2025,"$63,723M","$55,744M",$0M,"$5,663M"
