Year,Revenue,Cost of Revenue,R&D,SG&A
2020,$0M,$0M,$0M,$0M
2021,"$127,004M","$109,126M",$0M,"$8,554M"
2022,"$156,735M","$135,754M",$0M,"$10,667M"
2023,"$171,842M","$152,704M",$0M,"$9,840M"
2024,"$187,442M","$164,037M",$0M,"$10,621M"
