Year,Revenue,Cost of Revenue,R&D,SG&A
2020,$0M,$0M,$0M,$0M
2021,"$5,905M","$3,148M",$0M,"$2,706M"
2022,"$6,402M","$3,632M",$0M,"$2,221M"
2023,"$6,363M","$4,001M",$0M,"$3,127M"
2024,"$6,578M","$4,414M",$0M,"$3,137M"
