Year,Revenue,Cost of Revenue,R&D,SG&A
2021,"$7,839M","$1,739M","$1,292M","$1,102M"
2022,"$3,194M",$630M,"$2,326M","$2,111M"
2023,"$3,108M","$1,136M","$1,325M",$692M
2024,"$6,564M","$1,658M","$1,468M","$1,195M"
