Year,Revenue,Cost of Revenue,R&D,SG&A
2023,$0M,$0M,$0M,$0M
2024,"$39,001M","$21,038M","$2,925M","$4,620M"
2025,"$10,543M","$5,263M",$823M,"$1,110M"
