Year,Revenue,Cost of Revenue,R&D,SG&A
2020,$0M,$0M,$0M,$0M
2021,"$287,597M","$217,945M",$0M,$0M
2022,"$324,162M","$244,545M",$0M,$0M
2023,"$371,622M","$280,664M",$0M,$0M
2024,"$400,278M","$310,879M",$0M,$0M
