Year,Revenue,Cost of Revenue,R&D,SG&A
2020,$0M,$0M,$0M,$0M
2021,"$59,339M",$0M,$0M,"$18,272M"
2022,"$47,365M",$0M,$0M,"$15,960M"
2023,"$46,254M",$0M,$0M,"$16,128M"
2024,"$53,512M",$0M,$0M,"$17,352M"
