Year,Revenue,Cost of Revenue,R&D,SG&A
2020,$0M,$0M,$0M,$0M
2021,"$1,532M","$2,739M",$0M,"$1,370M"
2022,"$8,840M","$6,616M",$0M,"$1,583M"
2023,"$13,900M","$7,775M",$0M,"$1,792M"
2024,"$16,485M","$8,652M",$0M,"$2,125M"
