Year,Revenue,Cost of Revenue,R&D,SG&A
2020,$0M,$0M,$0M,$0M
2021,"$17,736M","$2,617M","$1,991M",$567M
2022,"$18,875M","$5,416M","$3,295M","$1,132M"
2023,"$6,754M","$4,693M","$4,845M","$1,549M"
2024,"$3,199M","$1,464M","$4,543M","$1,174M"
