Year,Revenue,Cost of Revenue,R&D,SG&A
2020,$0M,$0M,$0M,$0M
2021,"$4,612M","$2,131M",$854M,"$1,276M"
2022,"$5,600M","$2,846M","$1,503M","$1,938M"
2023,"$7,060M","$3,545M","$1,730M","$1,711M"
2024,"$8,880M","$4,408M","$1,367M","$1,803M"
