Year,Revenue,Cost of Revenue,R&D,SG&A
2020,$0M,$0M,$0M,$0M
2021,$465M,$347M,$67M,$209M
2022,$419M,$443M,$62M,$240M
2023,$343M,$426M,$40M,$220M
2024,$326M,$285M,$28M,$170M
