Year,Revenue,Cost of Revenue,R&D,SG&A
2020,$0M,$0M,$0M,$0M
2021,"$121,685M",$0M,$0M,"$41,603M"
2022,"$127,727M",$0M,$0M,"$45,547M"
2023,"$154,952M",$0M,$0M,"$51,056M"
2024,"$169,439M",$0M,$0M,"$56,331M"
