Year,Revenue,Cost of Revenue,R&D,SG&A
2020,$0M,$0M,$0M,$0M
2021,"$18,520M",$0M,$0M,"$5,935M"
2022,"$20,762M",$0M,$0M,"$6,355M"
2023,"$18,837M",$0M,$0M,"$6,712M"
2024,"$19,606M",$0M,$0M,"$6,440M"
