Year,Revenue,Cost of Revenue,R&D,SG&A
2020,$0M,$0M,$0M,$0M
2021,"$43,147M",$0M,$0M,"$11,531M"
2022,"$52,862M",$0M,$0M,"$12,710M"
2023,"$60,515M",$0M,$0M,"$13,280M"
2024,"$65,949M",$0M,$0M,"$14,238M"
