Year,Revenue,Cost of Revenue,R&D,SG&A
2023,$0M,$0M,$0M,$0M
2024,"$154,596M","$102,814M",$0M,"$27,702M"
2025,"$39,704M","$26,670M",$0M,"$7,725M"
