Year,Revenue,Cost of Revenue,R&D,SG&A
2023,$0M,$0M,$0M,$0M
2024,"$339,247M","$262,505M",$0M,"$19,952M"
2025,"$81,058M","$62,573M",$0M,"$5,080M"
