Year,Revenue,Cost of Revenue,R&D,SG&A
2021,"$15,790M","$11,675M",$0M,$0M
2022,"$23,814M","$19,062M",$0M,$0M
2023,"$26,091M","$21,868M",$0M,$0M
2024,"$27,483M","$23,024M",$0M,$0M
