Year,Revenue,Cost of Revenue,R&D,SG&A
2020,$0M,$0M,"$42,740M",$0M
2021,"$469,822M","$272,344M",$0M,"$41,374M"
2022,"$513,983M","$288,831M",$0M,"$54,129M"
2023,"$574,785M","$304,739M",$0M,"$56,186M"
2024,"$637,959M","$326,288M",$0M,"$55,266M"
