Year,Revenue,Cost of Revenue,R&D,SG&A
2020,$0M,$0M,$0M,$0M
2021,"$1,815M",$509M,"$1,234M","$1,490M"
2022,"$1,358M",$588M,$878M,$725M
2023,"$1,865M",$459M,$805M,"$1,056M"
2024,"$2,951M",$504M,$818M,$464M
