Year,Revenue,Cost of Revenue,R&D,SG&A
2023,$0M,$0M,$0M,$0M
2024,"$673,819M","$507,406M",$0M,"$137,670M"
2025,"$180,554M","$136,172M",$0M,"$36,523M"
