Year,Revenue,Cost of Revenue,R&D,SG&A
2020,$0M,$0M,$0M,$186M
2021,"$1,328M",$192M,$80M,$188M
2022,"$1,425M",$201M,$86M,$195M
2023,"$1,493M",$197M,$91M,$204M
2024,"$1,557M",$191M,$97M,$211M
