Year,Revenue,Cost of Revenue,R&D,SG&A
2023,$0M,$0M,$0M,$0M
2024,"$41,033M","$32,671M",$0M,"$7,650M"
2025,"$9,468M","$7,888M",$0M,"$2,014M"
