Year,Revenue,Cost of Revenue,R&D,SG&A
2020,$0M,$0M,$0M,$0M
2021,"$40,479M","$7,855M","$6,527M","$8,936M"
2022,"$42,440M","$8,877M","$7,219M","$9,364M"
2023,"$49,954M","$13,564M","$8,623M","$10,412M"
2024,"$52,961M","$15,143M","$8,915M","$9,822M"
