Year,Revenue,Cost of Revenue,R&D,SG&A
2020,$0M,$0M,$0M,$0M
2021,"$365,817M","$212,981M","$21,914M","$21,973M"
2022,"$394,328M","$223,546M","$26,251M","$25,094M"
2023,"$383,285M","$214,137M","$29,915M","$24,932M"
2024,"$391,035M","$210,352M","$31,370M","$26,097M"
