Year,Revenue,Cost of Revenue,R&D,SG&A
2020,$0M,$0M,$0M,$0M
2021,$55M,$520M,"$1,850M","$1,242M"
2022,"$1,658M","$4,781M","$1,944M","$1,789M"
2023,"$4,434M","$6,464M","$1,995M","$1,714M"
2024,"$4,970M","$6,170M","$1,613M","$1,876M"
