Year,Revenue,Cost of Revenue,R&D,SG&A
2022,"$26,492M","$7,026M","$4,465M","$14,453M"
2023,"$31,352M","$8,360M","$5,055M","$16,079M"
2024,"$34,857M","$8,541M","$4,906M","$15,411M"
2025,"$37,895M","$8,643M","$5,493M","$16,093M"
