Year,Revenue,Cost of Revenue,R&D,SG&A
2020,$0M,$0M,$0M,$0M
2021,"$119,983M","$113,372M",$0M,"$5,074M"
2022,"$177,453M","$154,886M",$0M,"$5,544M"
2023,"$148,379M","$131,873M",$0M,"$6,078M"
2024,"$138,864M","$129,577M",$0M,"$6,442M"
