Year,Revenue,Cost of Revenue,R&D,SG&A
2020,$0M,$0M,$0M,$0M
2021,"$27,450M","$10,606M","$4,854M","$1,347M"
2022,"$33,203M","$11,108M","$4,919M","$1,382M"
2023,"$35,819M","$11,129M","$5,253M","$1,592M"
2024,"$51,574M","$19,065M","$9,310M","$4,959M"
