Year,Revenue,Cost of Revenue,R&D,SG&A
2020,$0M,$0M,$0M,$0M
2021,"$133,613M","$56,301M",$0M,"$28,658M"
2022,"$136,835M","$59,133M",$0M,"$30,136M"
2023,"$133,974M","$54,887M",$0M,"$32,745M"
2024,"$134,788M","$54,097M",$0M,"$34,113M"
