Year,Revenue,Cost of Revenue,R&D,SG&A
2020,$0M,$0M,$0M,$0M
2021,"$257,637M","$110,939M","$31,562M","$36,422M"
2022,"$282,836M","$126,203M","$39,500M","$42,291M"
2023,"$307,394M","$133,332M","$45,427M","$44,342M"
2024,"$350,018M","$146,306M","$49,326M","$41,996M"
