Year,Revenue,Cost of Revenue,R&D,SG&A
2023,$0M,$0M,$0M,$0M
2024,"$47,061M","$18,324M",$0M,"$9,458M"
2025,"$11,129M","$4,163M",$0M,"$3,234M"
