Year,Revenue,Cost of Revenue,R&D,SG&A
2021,"$56,197M","$17,446M","$8,046M","$12,349M"
2022,"$58,054M","$17,414M","$6,510M","$15,260M"
2023,"$54,318M","$20,415M","$7,675M","$12,872M"
2024,"$56,334M","$16,904M","$12,791M","$14,752M"
