Year,Revenue,Cost of Revenue,R&D,SG&A
2020,$0M,$0M,$0M,$0M
2021,"$1,296M",$794M,$254M,"$1,810M"
2022,"$2,240M","$1,484M",$318M,"$1,950M"
2023,"$3,665M","$2,292M",$355M,"$1,807M"
2024,"$4,768M","$2,951M",$397M,"$2,029M"
