Year,Revenue,Cost of Revenue,R&D,SG&A
2020,$0M,$0M,$0M,$0M
2021,$124M,$106M,$0M,$12M
2022,$138M,$122M,$0M,$14M
2023,$138M,$123M,$0M,$12M
2024,$142M,$127M,$0M,$14M
