Year,Revenue,Cost of Revenue,R&D,SG&A
2020,$0M,$0M,$0M,$0M
2021,"$29,882M","$29,855M",$0M,"$2,196M"
2022,"$48,971M","$39,934M",$0M,"$3,630M"
2023,"$52,788M","$40,978M",$0M,"$3,598M"
2024,"$54,211M","$42,746M",$0M,"$3,624M"
