Year,Revenue,Cost of Revenue,R&D,SG&A
2020,$0M,$0M,$0M,$0M
2021,"$354,727M",$0M,$0M,"$41,887M"
2022,"$234,121M",$0M,$0M,"$44,562M"
2023,"$439,337M",$0M,$0M,"$56,953M"
2024,"$424,232M",$0M,$0M,"$58,353M"
