Year,Revenue,Cost of Revenue,R&D,SG&A
2020,$0M,$0M,$0M,$0M
2021,"$14,626M","$7,821M","$1,493M",$830M
2022,"$17,227M","$9,355M","$1,604M",$886M
2023,"$17,429M","$9,652M","$1,727M",$833M
2024,"$14,905M","$7,853M","$1,902M",$868M
