Year,Revenue,Cost of Revenue,R&D,SG&A
2021,"$7,859M","$3,658M",$0M,"$2,074M"
2022,"$8,364M","$3,900M",$0M,"$2,318M"
2023,"$9,259M","$4,305M",$0M,"$3,066M"
2024,"$10,662M","$4,921M",$0M,"$2,563M"
2025,$0M,$0M,$0M,$0M
