Year,Revenue,Cost of Revenue,R&D,SG&A
2020,$0M,$0M,$0M,$0M
2021,"$89,113M",$0M,$0M,"$45,049M"
2022,"$94,950M",$0M,$0M,"$45,946M"
2023,"$98,581M",$0M,$0M,"$47,715M"
2024,"$101,887M",$0M,$0M,"$49,623M"
