Year,Revenue,Cost of Revenue,R&D,SG&A
2020,$0M,$0M,$0M,$0M
2021,"$4,357M","$2,669M",$0M,$908M
2022,"$4,537M","$2,889M",$0M,$902M
2023,"$4,479M","$2,752M",$0M,$908M
2024,"$4,706M","$2,858M",$0M,$969M
